Vessel_CAT_ID,Vessel_ID,Vessel_Name,Vessel_Type,Vessel_Captain,Vessel_Type,Vessel_Category,Abbreviation
SCHR,SCHR_A000126,Albemarle,Schooner,,,,
SCHR,SCHR_A000127,Albert,Schooner,Brown,,,
SCHR,SCHR_A000127,Albert,Schooner,Whitmore,,,
SCHR,SCHR_A000129,Albert Dexter,Schooner,Pierce,,,
SCHR,SCHR_A000129,Albert Dexter,Schooner,Bearse,,,
SCHR,SCHR_A000131,Albert Jamieson,Schooner,Jamieson,,,
SCHR,SCHR_A000132,Albert Mason,Schooner,Smith,,,
SCHR,SCHR_A000132,Albert Mason,Schooner,Hallock,,,
SCHR,SCHR_A000134,Albert Pharo,Schooner,Allen,,,
SCHR,SCHR_A000134,Albert Pharo,Schooner,Limpincott,,,
SCHR,SCHR_A000136,Albert Steel,Schooner,Sears,,,
SCHR,SCHR_A000137,Albert Treat,Schooner,Bowdoin,,,
SCHR,SCHR_A000138,Albertine,Schooner,Hare,,,
SCHR,SCHR_A000139,Albetros,Schooner,Wingfield,,,
SCHR,SCHR_A000140,Albi Albon,Br. Schooner,Crowell,,,
SCHR,SCHR_A000141,Albion,Schooner,Bray,,,
SCHR,SCHR_A000141,Albion,Schooner,Allen,,,
SCHR,SCHR_A000141,Albion,Schooner,,,,
SCHR,SCHR_A000144,Ald,Schooner,Bradley,,,
SCHR,SCHR_A000145,Alena,Schooner,Dent,,,
SCHR,SCHR_A000146,Alert,Schooner,Champion,,,
SCHR,SCHR_A000146,Alert,Schooner,Kelly,,,
SCHR,SCHR_A000146,Alert,Schooner,Hall,,,
SCHR,SCHR_A000146,Alert,Schooner,Stone,,,
SCHR,SCHR_A000150,Alethea,Schooner,,,,
SCHR,SCHR_A000150,Alethea,Schooner,Rice,,,
SCHR,SCHR_A000152,Alethia,Schooner,Rice,,,
SCHR,SCHR_A000153,Alex Sellman,Schooner,Moore,,,
SCHR,SCHR_A000154,Alex. Loud.,Schooner,,,,
SCHR,SCHR_A000155,Alex. Seeman,Schooner,Brannican,,,
SCHR,SCHR_A000156,Alexander,Schooner,Henderson,,,
SCHR,SCHR_A000157,Alexander H. Brown,Schooner,,,,
SCHR,SCHR_A000158,Alexander Henderson,Schooner,Godfrey,,,
SCHR,SCHR_A000159,Alexander Sellman,Schooner,Fountain,,,
SCHR,SCHR_A000160,Alexandria,Packet Schooner,Britton,,,
SCHR,SCHR_A000161,Alexena,Schooner,Smith,,,
SCHR,SCHR_A000161,Alexena,Schooner,Clifton,,,
SCHR,SCHR_A000163,Alexina,Schooner,Lent,,,
SCHR,SCHR_A000164,Alexino,Schooner,Stavro,,,
SCHR,SCHR_A000165,Alfaretta,Schooner,,,,
SCHR,SCHR_A000165,Alfaretta,Schooner,Hawkins,,,
SCHR,SCHR_A000167,Alfed Ray,Schooner,Creekmore,,,
SCHR,SCHR_A000168,Alford Ray,Schooner,Creekmire,,,
SCHR,SCHR_A000169,Alfred,Schooner,Pritchett,,,
